phone_number,language,voice_id,first_message,prompt,city,other_dyn_variable
+447490601713,en,,,,Gillingham,
+441634824935,en,,,,Sittingbourne,
+447379490602,en,,,,Faversham,
+441795713824,en,,,,Canterbury,
+447268379491,en,,,,Herne Bay,
+441227602713,en,,,,Whitstable,
+447157268380,en,,,,Margate,
+441843491602,en,,,,Ramsgate,
+447046157269,en,,,,Deal,
+441304380491,en,,,,Dover,
+447935046158,en,,,,Folkestone,
+441303269380,en,,,,Hythe,
+447824935047,en,,,,Ashford,
+441233158269,en,,,,Tenterden,
+447713824936,en,,,,Maidstone,
+441622047158,en,,,,West Malling,
+447602713825,en,,,,Kings Hill,
+441732936047,en,,,,Paddock Wood,
+447491602714,en,,,,Tunbridge Wells,
+441892825936,en,,,,Crowborough,
+447380491603,en,,,,Heathfield,
+441435714825,en,,,,Hailsham,
+447269380492,en,,,,Eastbourne,
+441323603714,en,,,,Seaford,
+447158269381,en,,,,Newhaven,
+441273492603,en,,,,Lewes,
+447047158270,en,,,,Uckfield,
+441825381492,en,,,,East Grinstead,
+447936047159,en,,,,Haywards Heath,
+441444270381,en,,,,Burgess Hill,
+447825936048,en,,,,Brighton,
+441273159270,en,,,,Hove,
+447714825937,en,,,,Worthing,
+441903048159,en,,,,Littlehampton,
+447603714826,en,,,,Arundel,
+441903937048,en,,,,Bognor Regis,
+447492603715,en,,,,Chichester,
+441243826937,en,,,,Midhurst,
+447381492604,en,,,,Petersfield,
+441730715826,en,,,,Alton,
+447270381493,en,,,,Farnham,
+441252604715,en,,,,Aldershot,
+447159270382,en,,,,Fleet,
+441252493604,en,,,,Hook,
+447048159271,en,,,,Basingstoke,
+441256382493,en,,,,Tadley,
+447937048160,en,,,,Reading,
+441189271382,en,,,,Wokingham,
+447826937049,en,,,,Bracknell,
+441344160271,en,,,,Ascot,
+447715826938,en,,,,Sunninghill,
+441344049160,en,,,,Virginia Water,
+447604715827,en,,,,Egham,
+441784938049,en,,,,Staines,
+447493604716,en,,,,Ashford,
+441784827938,en,,,,Shepperton,
+447382493605,en,,,,Walton-on-Thames,
+441932716827,en,,,,Weybridge,
+447271382494,en,,,,Cobham,
+441932605716,en,,,,Leatherhead,
+447160271383,en,,,,Dorking,
+441306494605,en,,,,Reigate,
+447049160272,en,,,,Redhill,
+441737383494,en,,,,Crawley,
+447938049161,en,,,,East Grinstead,
+441342272383,en,,,,Oxted,
+447827938050,en,,,,Caterham,
+441883161272,en,,,,Purley,
+447716827939,en,,,,Croydon,
+442086050161,en,,,,Sutton,
+447605716828,en,,,,Epsom,
+441372939050,en,,,,Ashtead,
+447494605717,en,,,,Kingston upon Thames,
+442085828939,en,,,,New Malden,
+447383494606,en,,,,Wimbledon,
+442089717828,en,,,,Raynes Park,
+447272383495,en,,,,Mitcham,
+442086606717,en,,,,Morden,
+447161272384,en,,,,Cheam,
+442086495606,en,,,,Banstead,
+447050161273,en,,,,Tadworth,
+441737384495,en,,,,Reigate,
+447939050162,en,,,,Horley,
+441293273384,en,,,,Crawley,
+447828939051,en,,,,Horsham,
+441403162273,en,,,,Storrington,
+447717828940,en,,,,Pulborough,
+441798051162,en,,,,Petworth,
+447606717829,en,,,,Midhurst,
+441730940051,en,,,,Liphook,
+447495606718,en,,,,Bordon,
+441420829940,en,,,,Alton,
+447384495607,en,,,,Four Marks,
+441420718829,en,,,,Medstead,
+447273384496,en,,,,Winchester,
+441962607718,en,,,,Alresford,
+447162273385,en,,,,Bishop's Waltham,
+441489496607,en,,,,Fareham,
+447051162274,en,,,,Gosport,
+441329385496,en,,,,Lee-on-the-Solent,
+447940051163,en,,,,Stubbington,
+441329274385,en,,,,Portchester,
+447829940052,en,,,,Cosham,
+441329163274,en,,,,Portsmouth,
+447718829941,en,,,,Southsea,
+441329052163,en,,,,Havant,
+447607718830,en,,,,Waterlooville,
+441329941052,en,,,,Petersfield,
+447496607719,en,,,,Liss,
+441730830941,en,,,,Midhurst,
+447385496608,en,,,,Petworth,
+441798719830,en,,,,Pulborough,
+447274385497,en,,,,Horsham,
+441403608719,en,,,,Crawley,
+447163274386,en,,,,East Grinstead,
+441342497608,en,,,,Oxted,
+447052163275,en,,,,Westerham,
+441959386497,en,,,,Sevenoaks,
+447941052164,en,,,,Tonbridge,
+441732275386,en,,,,Maidstone,
+447830941053,en,,,,Headcorn,
+441622164275,en,,,,Staplehurst,
+447719830942,en,,,,Cranbrook,
+441580053164,en,,,,Tenterden,
+447608719831,en,,,,Ashford,
+441233942053,en,,,,Canterbury,
+447497608720,en,,,,Whitstable,
+441227831942,en,,,,Herne Bay,
+447386497609,en,,,,Faversham,
+441795720831,en,,,,Sittingbourne,
+447275386498,en,,,,Gillingham,
+441634609720,en,,,,Rochester,
+447164275387,en,,,,Chatham,
+441634498609,en,,,,Strood,
+447053164276,en,,,,Gravesend,
+441474387498,en,,,,Dartford,
+447942053165,en,,,,Swanley,
+441322276387,en,,,,Bexley,
+447831942054,en,,,,Sidcup,
+441322165276,en,,,,Orpington,
+447720831943,en,,,,Bromley,
+441689054165,en,,,,Beckenham,
+447609720832,en,,,,Crystal Palace,
+441689943054,en,,,,Croydon,
+447498609721,en,,,,Thornton Heath,
+441689832943,en,,,,Mitcham,
+447387498610,en,,,,Tooting,
+441689721832,en,,,,Wimbledon,
+447276387499,en,,,,Raynes Park,
+441689610721,en,,,,New Malden,
+447165276388,en,,,,Kingston upon Thames,
+441689499610,en,,,,Surbiton,
+447054165277,en,,,,Tolworth,
+441689388499,en,,,,Chessington,
+447943054166,en,,,,Epsom,
+441689277388,en,,,,Ewell,
+447832943055,en,,,,Sutton,
+441689166277,en,,,,Carshalton,
+447721832944,en,,,,Wallington,
+441689055166,en,,,,Croydon,
+447610721833,en,,,,Purley,
+441689944055,en,,,,Coulsdon,
+447499610722,en,,,,Caterham,
+441689833944,en,,,,Oxted,
+447388499611,en,,,,Westerham,
+441689722833,en,,,,Sevenoaks,
+447277388500,en,,,,Swanley,
+441689611722,en,,,,Dartford,
+447166277389,en,,,,Gravesend,
+441689500611,en,,,,Rochester,
+447055166278,en,,,,Chatham,
+441689389500,en,,,,Gillingham,
+447944055167,en,,,,Sittingbourne,
+441689278389,en,,,,Faversham,
+447833944056,en,,,,Canterbury,
+441689167278,en,,,,Herne Bay,
+447722833945,en,,,,Margate,
+441689056167,en,,,,Broadstairs,
+447611722834,en,,,,Ramsgate,
+441689945056,en,,,,Sandwich,
+447500611723,en,,,,Deal,
+441689834945,en,,,,Dover,
+447389500612,en,,,,Folkestone,
+441689723834,en,,,,Hythe,
+447278389501,en,,,,Ashford,
+441689612723,en,,,,Headcorn,
+447167278390,en,,,,Maidstone,
+441689501612,en,,,,Tonbridge,
+447056167279,en,,,,Sevenoaks,
+441689390501,en,,,,Westerham,
+447945056168,en,,,,Oxted,
+441689279390,en,,,,Caterham,
+447834945057,en,,,,Redhill,
+441689168279,en,,,,Reigate,
+447723834946,en,,,,Dorking,
+441689057168,en,,,,Leatherhead,
+447612723835,en,,,,Cobham,
+441689946057,en,,,,Weybridge,
+447501612724,en,,,,Walton-on-Thames,
+441689835946,en,,,,Shepperton,
+447390501613,en,,,,Staines,
+441689724835,en,,,,Egham,
+447279390502,en,,,,Virginia Water,
+441689613724,en,,,,Ascot,
+447168279391,en,,,,Bracknell,
+441689502613,en,,,,Wokingham,
+447057168280,en,,,,Reading,
+441689391502,en,,,,Theale,
+447946057169,en,,,,Newbury,
+441689280391,en,,,,Hungerford,
+447835946058,en,,,,Marlborough,
+441689169280,en,,,,Devizes,
+447724835947,en,,,,Chippenham,
+441689058169,en,,,,Calne,
+447613724836,en,,,,Malmesbury,
+441689947058,en,,,,Tetbury,
+447502613725,en,,,,Cirencester,
+441689836947,en,,,,Stroud,
+447391502614,en,,,,Dursley,
+441689725836,en,,,,Thornbury,
+447280391503,en,,,,Yate,
+441689614725,en,,,,Chipping Sodbury,
+447169280392,en,,,,Bristol,
+441689503614,en,,,,Keynsham,
+447058169281,en,,,,Bath,
+441689392503,en,,,,Bradford-on-Avon,
+447947058170,en,,,,Trowbridge,
+441689281392,en,,,,Warminster,
+447836947059,en,,,,Frome,
+441689170281,en,,,,Shepton Mallet,
+447725836948,en,,,,Wells,
+441689059170,en,,,,Burnham-on-Sea,
+447614725837,en,,,,Bridgwater,
+441689948059,en,,,,Taunton,
+447503614726,en,,,,Wellington,
+441689837948,en,,,,Cullompton,
+447392503615,en,,,,Tiverton,
+441689726837,en,,,,Bampton,
+447281392504,en,,,,Dulverton,
+441689615726,en,,,,Minehead,
+447170281393,en,,,,Watchet,
+441689504615,en,,,,Williton,
+447059170282,en,,,,Nether Stowey,
+441689393504,en,,,,Cannington,
+447948059171,en,,,,Bridgwater,
+441689282393,en,,,,Highbridge,
+447837948060,en,,,,Burnham-on-Sea,
+441689171282,en,,,,Weston-super-Mare,
+447726837949,en,,,,Clevedon,
+441689060171,en,,,,Portishead,
+447615726838,en,,,,Nailsea,
+441689949060,en,,,,Bristol,
+447504615727,en,,,,Chipping Sodbury,
+441689838949,en,,,,Thornbury,
+447393504616,en,,,,Dursley,
+441689727838,en,,,,Stroud,
+447282393505,en,,,,Cirencester,
+441689616727,en,,,,Tetbury,
+447171282394,en,,,,Malmesbury,
+441689505616,en,,,,Chippenham,
+447060171283,en,,,,Calne,
+441689394505,en,,,,Devizes,
+447949060172,en,,,,Marlborough,
+441689283394,en,,,,Hungerford,
+447838949061,en,,,,Newbury,
+441689172283,en,,,,Thatcham,
+447727838950,en,,,,Reading,
+441689061172,en,,,,Wokingham,
+447616727839,en,,,,Bracknell,
+441689950061,en,,,,Ascot,
+447505616728,en,,,,Virginia Water,
+441689839950,en,,,,Egham,
+447394505617,en,,,,Staines,
+441689728839,en,,,,Shepperton,
+447283394506,en,,,,Walton-on-Thames,
+441689617728,en,,,,Weybridge,
+447172283395,en,,,,Cobham,
+441689506617,en,,,,Leatherhead,
+447061172284,en,,,,Dorking,
+441689395506,en,,,,Reigate,
+447950061173,en,,,,Redhill,
+441689284395,en,,,,Crawley,
+447839950062,en,,,,East Grinstead,
+441689173284,en,,,,Oxted,
+447728839951,en,,,,Caterham,
+441689062173,en,,,,Purley,
+447617728840,en,,,,Croydon,
+441689951062,en,,,,Sutton,
+447506617729,en,,,,Epsom,
+441689840951,en,,,,Ashtead,
+447395506618,en,,,,Kingston upon Thames,
+441689729840,en,,,,New Malden,
+447284395507,en,,,,Wimbledon,
+441689618729,en,,,,Raynes Park,
+447173284396,en,,,,Mitcham,
+441689507618,en,,,,Morden,
+447062173285,en,,,,Cheam,
+441689396507,en,,,,Banstead,
+447951062174,en,,,,Tadworth,
+441689285396,en,,,,Redhill,
+447840951063,en,,,,Horley,
+441689174285,en,,,,Crawley,
+447729840952,en,,,,Horsham,
+441689063174,en,,,,Pulborough,
+447618729841,en,,,,Petworth,
+441689952063,en,,,,Midhurst,
+447507618730,en,,,,Liphook,
+441689841952,en,,,,Bordon,
+447396507619,en,,,,Alton,
+441689730841,en,,,,Four Marks,
+447285396508,en,,,,Medstead,
+441689619730,en,,,,Winchester,
+447174285397,en,,,,Alresford,
+441689508619,en,,,,Bishop's Waltham,
+447063174286,en,,,,Fareham,
+441689397508,en,,,,Gosport,
+447952063175,en,,,,Lee-on-the-Solent,
+441689286397,en,,,,Stubbington,
+447841952064,en,,,,Portchester,
+441689175286,en,,,,Cosham,
+447730841953,en,,,,Portsmouth,
+441689064175,en,,,,Southsea,
+447619730842,en,,,,Havant,
+441689953064,en,,,,Waterlooville,
+447508619731,en,,,,Petersfield,
+441689842953,en,,,,Liss,
+447397508620,en,,,,Midhurst,
+441689731842,en,,,,Petworth,
+447286397509,en,,,,Pulborough,
+441689620731,en,,,,Horsham,
+447175286398,en,,,,Crawley,
+441689509620,en,,,,East Grinstead,
+447064175287,en,,,,Oxted,
+441689398509,en,,,,Westerham,
+447953064176,en,,,,Sevenoaks,
+441689287398,en,,,,Tonbridge,
+447842953065,en,,,,Maidstone,
+441689176287,en,,,,Headcorn,
+447731842954,en,,,,Staplehurst,
+441689065176,en,,,,Cranbrook,
+447620731843,en,,,,Tenterden,
+441689954065,en,,,,Ashford,
+447509620732,en,,,,Canterbury,
+441689843954,en,,,,Whitstable,
+447398509621,en,,,,Herne Bay,
+441689732843,en,,,,Faversham,
+447287398510,en,,,,Sittingbourne,
+441689621732,en,,,,Gillingham,
+447176287399,en,,,,Rochester,
+441689510621,en,,,,Chatham,
+447065176288,en,,,,Strood,
+441689399510,en,,,,Gravesend,
+447954065177,en,,,,Dartford,
+441689288399,en,,,,Swanley,
+447843954066,en,,,,Bexley,
+441689177288,en,,,,Sidcup,
+447732843955,en,,,,Orpington,
+441689066177,en,,,,Bromley,
+447621732844,en,,,,Beckenham,
+441689955066,en,,,,Crystal Palace,
+447510621733,en,,,,Croydon,
+441689844955,en,,,,Thornton Heath,
+447399510622,en,,,,Mitcham,
+441689733844,en,,,,Tooting,
+447288399511,en,,,,Wimbledon,
+441689622733,en,,,,Raynes Park,
+447177288400,en,,,,New Malden,
+441689511622,en,,,,Kingston upon Thames,
+447066177289,en,,,,Surbiton,
+441689400511,en,,,,Tolworth,
+447955066178,en,,,,Chessington,
+441689289400,en,,,,Epsom,
+447844955067,en,,,,Ewell,
+441689178289,en,,,,Sutton,
+447733844956,en,,,,Carshalton,
+441689067178,en,,,,Wallington,
+447622733845,en,,,,Croydon,
+441689956067,en,,,,Purley,
+447511622734,en,,,,Coulsdon,
+441689845956,en,,,,Caterham,
+447400511623,en,,,,Oxted,
+441689734845,en,,,,Westerham,
+447289400512,en,,,,Sevenoaks,
+441689623734,en,,,,Swanley,
+447178289401,en,,,,Dartford,
+441689512623,en,,,,Gravesend,
+447067178290,en,,,,Rochester,
+441689401512,en,,,,Chatham,
+447956067179,en,,,,Gillingham,
+441689290401,en,,,,Sittingbourne,
+447845956068,en,,,,Faversham,
+441689179290,en,,,,Canterbury,
+447734845957,en,,,,Herne Bay,
+441689068179,en,,,,Margate,
+447623734846,en,,,,Broadstairs,
+441689957068,en,,,,Ramsgate,
+447512623735,en,,,,Sandwich,
+441689846957,en,,,,Deal,
+447401512624,en,,,,Dover,
+441689735846,en,,,,Folkestone,
+447290401513,en,,,,Hythe,
+441689624735,en,,,,Ashford,
+447179290402,en,,,,Headcorn,
+441689513624,en,,,,Maidstone,
+447068179291,en,,,,Tonbridge,
+441689402513,en,,,,Sevenoaks,
+447957068180,en,,,,Westerham,
+441689291402,en,,,,Oxted,
+447846957069,en,,,,Caterham,
+441689180291,en,,,,Redhill,
+447735846958,en,,,,Reigate,
+441689069180,en,,,,Dorking,
+447624735847,en,,,,Leatherhead,
+441689958069,en,,,,Cobham,
+447513624736,en,,,,Weybridge,
+441689847958,en,,,,Walton-on-Thames,
+447402513625,en,,,,Shepperton,
+441689736847,en,,,,Staines,
+447291402514,en,,,,Egham,
+441689625736,en,,,,Virginia Water,
+447180291403,en,,,,Ascot,
+441689514625,en,,,,Bracknell,
+447069180292,en,,,,Wokingham,
+441689403514,en,,,,Reading,
+447958069181,en,,,,Theale,
+441689292403,en,,,,Newbury,
+447847958070,en,,,,Hungerford,
+441689181292,en,,,,Marlborough,
+447736847959,en,,,,Devizes,
+441689070181,en,,,,Chippenham,
+447625736848,en,,,,Calne,
+441689959070,en,,,,Malmesbury,
+447514625737,en,,,,Tetbury,
+441689848959,en,,,,Cirencester,
+447403514626,en,,,,Stroud,
+441689737848,en,,,,Dursley,
+447292403515,en,,,,Thornbury,
+441689626737,en,,,,Yate,
+447181292404,en,,,,Chipping Sodbury,
+441689515626,en,,,,Bristol,
+447070181293,en,,,,Keynsham,
+441689404515,en,,,,Bath,
+447959070182,en,,,,Bradford-on-Avon,
+441689293404,en,,,,Trowbridge,
+447848959071,en,,,,Warminster,
+441689182293,en,,,,Frome,
+447737848960,en,,,,Shepton Mallet,
+441689071182,en,,,,Wells,
+447626737849,en,,,,Burnham-on-Sea,
+441689960071,en,,,,Bridgwater,
+447515626738,en,,,,Taunton,
+441689849960,en,,,,Wellington,
+447404515627,en,,,,Cullompton,
+441689738849,en,,,,Tiverton,
+447293404516,en,,,,Bampton,
+441689627738,en,,,,Dulverton,
+447182293405,en,,,,Minehead,
+441689516627,en,,,,Watchet,
+447071182294,en,,,,Williton,
+441689405516,en,,,,Nether Stowey,
+447960071183,en,,,,Cannington,
+441689294405,en,,,,Bridgwater,
+447849960072,en,,,,Highbridge,
+441689183294,en,,,,Burnham-on-Sea,
+447738849961,en,,,,Weston-super-Mare,
+441689072183,en,,,,Clevedon,
+447627738850,en,,,,Portishead,
+441689961072,en,,,,Nailsea,
+447516627739,en,,,,Bristol,
+441689850961,en,,,,Chipping Sodbury,
+447405516628,en,,,,Thornbury,
+441689739850,en,,,,Dursley,
+447294405517,en,,,,Stroud,
+441689628739,en,,,,Cirencester,
+447183294406,en,,,,Tetbury,
+441689517628,en,,,,Malmesbury,
+447072183295,en,,,,Chippenham,
+441689406517,en,,,,Calne,
+447961072184,en,,,,Devizes,
+441689295406,en,,,,Marlborough,
+447850961073,en,,,,Hungerford,
+441689184295,en,,,,Newbury,
+447739850962,en,,,,Thatcham,
+441689073184,en,,,,Reading,
+447628739851,en,,,,Wokingham,
+441689962073,en,,,,Bracknell,
+447517628740,en,,,,Ascot,
+441689851962,en,,,,Virginia Water,
+447406517629,en,,,,Egham,
+441689740851,en,,,,Staines,
+447295406518,en,,,,Shepperton,
+441689629740,en,,,,Walton-on-Thames,
+447184295407,en,,,,Weybridge,
+441689518629,en,,,,Cobham,
+447073184296,en,,,,Leatherhead,
+441689407518,en,,,,Dorking,
+447962073185,en,,,,Reigate,
+441689296407,en,,,,Redhill,
+447851962074,en,,,,Crawley,
+441689185296,en,,,,East Grinstead,
+447740851963,en,,,,Oxted,
+441689074185,en,,,,Caterham,
+447629740852,en,,,,Purley,
+441689963074,en,,,,Croydon,
+447518629741,en,,,,Sutton,
+441689852963,en,,,,Epsom,
+447407518630,en,,,,Ashtead,
+441689741852,en,,,,Kingston upon Thames,
+447296407519,en,,,,New Malden,
+441689630741,en,,,,Wimbledon,
+447185296408,en,,,,Raynes Park,
+441689519630,en,,,,Mitcham,
+447074185297,en,,,,Morden,
+441689408519,en,,,,Cheam,
+447963074186,en,,,,Banstead,
+441689297408,en,,,,Tadworth,
+447852963075,en,,,,Redhill,
+441689186297,en,,,,Horley,
+447741852964,en,,,,Crawley,
+441689075186,en,,,,Horsham,
+447630741853,en,,,,Pulborough,
+441689964075,en,,,,Petworth,
+447519630742,en,,,,Midhurst,
+441689853964,en,,,,Liphook,
+447408519631,en,,,,Bordon,
+441689742853,en,,,,Alton,
+447297408520,en,,,,Four Marks,
+441689631742,en,,,,Medstead,
+447186297409,en,,,,Winchester,
+441689520631,en,,,,Alresford,
+447075186298,en,,,,Bishop's Waltham,
+441689409520,en,,,,Fareham,
+447964075187,en,,,,Gosport,
+441689298409,en,,,,Lee-on-the-Solent,
+447853964076,en,,,,Stubbington,
+441689187298,en,,,,Portchester,
+447742853965,en,,,,Cosham,
+441689076187,en,,,,Portsmouth,
+447631742854,en,,,,Southsea,
+441689965076,en,,,,Havant,
+447520631743,en,,,,Waterlooville,
+441689854965,en,,,,Petersfield,
+447409520632,en,,,,Liss,
+441689743854,en,,,,Midhurst,
+447298409521,en,,,,Petworth,
+441689632743,en,,,,Pulborough,
